表格ID：Custom_SinglePopulation
標題：五齡人口數
更新日期：2026.08.28
下載日期：2026.09.02 13:55
查詢年份：1992~2075
資料來源：國家發展委員會
中華民國人口推估
來源網址：https://pop-proj.ndc.gov.tw/Custom_Detail_Statistics_Search.aspx?n=39&_Query=dd898a76-e054-497c-9231-8d0be078995a

,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
推估情境,性別,年齡,統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人)
低推估,男性,35-39歲,892329,912226,932906,945331,954943,975340,989035,992806,990211,988598,971469,960123,951254,945670,932908,926562,913095,899207,889468,914496,928490,952401,982359,1004245,1000692,1009075,996693,973587,941428,884401,839523,831586,807507,808771,819757,826349,818590,824976,818409,819674,820992,791970,772877,765279,732589,694426,675211,643069,593060,568121,547640,532962,520275,500393,496589,511424,510062,519068,542909,547885,528334,521240,504146,478583,453715,425745,403419,383995,358305,325627,297734,270311,240803,223000,213355,206967,200339,193706,187271,181077,175417,170375,166048,162479
低推估,男性,40-44歲,722576,770835,810417,848300,865339,878916,900056,919603,931580,941127,960079,971638,975195,972854,972298,956057,945857,937285,932140,919426,912991,899869,886945,877836,903230,917671,941853,972012,993290,985293,990550,986636,965271,934500,882142,840492,825411,800190,801576,812806,819620,812217,818719,812420,813862,815357,786713,767937,760597,728316,690611,671635,639847,590362,565731,545527,531070,518583,498916,495257,510155,508910,517977,541751,546781,527454,520464,503539,478193,453534,425779,403632,384381,358871,326397,298669,271416,242106,224438,214881,208561,202001,195428,189051
低推估,男性,45-49歲,451477,471877,508108,568978,646207,705103,753418,791357,829386,846586,858992,877898,896871,908705,919910,938532,950823,954649,952466,951201,935207,925294,917741,913117,901383,895576,882891,870707,861418,882337,893304,925136,956248,978049,975114,983692,971917,949537,919492,868351,827713,813223,788657,790299,801527,808414,801359,807942,801954,803569,805234,777088,758724,751698,719983,682941,664275,632993,584297,560103,540289,526128,513902,494527,491040,505966,504835,513915,537480,542529,523518,516634,499950,474931,450602,423179,401306,382322,357092,324958,297507,270549,241578,224126
低推估,男性,50-54歲,443183,447587,444463,426680,415574,426471,449997,489804,550932,627410,683753,729037,765796,803078,821251,833832,853304,872033,883709,893621,912094,923924,927927,926100,924716,909365,900275,893605,888663,873204,864564,859477,848743,840213,865531,879916,903533,932891,954470,951950,960556,949286,927662,898504,848727,809268,795420,771660,773535,784658,791548,784871,791463,785816,787571,789376,761895,744055,737390,706451,670310,652056,621488,573928,550332,531045,517268,505382,486414,483124,497979,496954,505976,529152,534167,515602,508856,492520,467999,444165,417259,395809,377227,352449
低推估,男性,55-59歲,389203,389157,390779,400396,408932,414295,421175,421673,405574,397003,407786,429830,468133,527088,602280,657109,701768,737598,773674,790656,803377,822075,840614,851684,861044,878847,890359,894467,892095,886769,868925,866736,861080,856943,846969,842103,830806,819740,812098,836854,850940,874011,902650,923709,921599,930140,919446,898750,870706,822673,784696,771599,748826,750919,761858,768703,762456,769019,763756,765645,767583,740975,723794,717537,687599,652624,634933,605310,559220,536397,517767,504472,493005,474585,471508,486165,485251,494138,516770,521722,503727,497183,481315,457469
低推估,男性,60-64歲,413629,401476,385289,370095,357729,355662,357588,363324,372741,382731,388001,394429,395322,380324,373307,384466,406629,443885,500740,571994,624453,666914,701675,736337,752645,764913,782721,800678,809910,813629,827663,845099,849692,847888,847569,834086,826435,820924,817917,808703,804302,793877,783723,776865,801096,814953,837437,865235,885713,884148,892658,882721,863206,836570,790712,754559,742379,720823,723190,733944,740766,735059,741616,736829,738903,741022,715513,699148,693377,664664,631104,614130,585651,541308,519408,501560,488842,477881,460141,457311,471695,470924,479666,501676
低推估,男性,65-69歲,342974,361512,374358,380492,379841,372322,359898,346812,333391,323539,322139,324142,330091,339262,349809,355601,362704,364463,351553,345490,356836,378513,413584,466819,533682,582609,622955,655667,687090,696974,706423,729215,746500,755618,763869,779561,789971,794193,793729,793836,781656,775166,770754,768643,760673,757053,747858,738929,733126,756818,770476,792320,819161,838992,838187,846727,837774,819762,794896,751731,717858,706862,686845,689623,700193,707032,702032,708619,704458,706800,709179,685003,669635,664490,637265,605421,589293,562183,519946,499157,482261,470249,459906,442973
低推估,男性,70-74歲,219690,232766,247589,264749,277751,292130,308800,320675,326658,326319,320449,309833,299144,288316,281052,280289,282905,289278,298770,308671,315219,322248,324075,313098,307929,318877,339426,372358,420487,476519,518346,560094,589929,619521,633514,643680,658543,673837,683121,691486,706477,716870,721745,722302,723400,713169,708311,705321,704363,697996,695351,687739,680393,675975,699012,712389,733388,758968,777898,778097,786632,778925,762856,740249,700556,669657,660259,642280,645630,655924,662741,658678,665277,661944,664616,667328,644826,630740,626442,601141,571548,556453,531100,491651
低推估,男性,75-79歲,123100,128111,134194,143043,155747,167889,179024,190909,205981,218110,230394,244424,254807,260601,262137,258048,250143,242555,234614,229209,229340,232756,239096,247645,256390,262498,268919,271662,262423,256442,264996,285379,314904,356952,408835,446007,476987,502007,527958,541586,551514,565529,579918,589287,597863,611975,622221,627648,629254,631371,623427,620436,619043,619340,614841,613283,607554,602100,599306,621229,634004,653663,677341,694860,696198,704532,698325,684715,665026,629929,602979,595643,580313,584314,594086,600742,597859,604341,602042,605060,608112,587825,575442,572249
低推估,男性,80-84歲,58049,64618,70333,74364,77128,79065,82971,87710,94920,105011,114146,122381,131554,143274,153915,163045,173879,182732,188509,189644,187308,182091,176602,171347,167699,168622,171621,177638,185500,192117,195255,201014,203244,196895,195210,205465,221422,245718,279062,320730,350796,375870,396274,417647,429819,438616,450827,463419,472232,480418,492753,502145,507618,509908,512680,507060,505882,505992,507380,504792,504091,500323,496884,495796,515773,527263,544582,565113,580121,582549,590050,585394,574724,558628,529548,507794,503083,491258,495897,504513,510531,509040,514968,513868
低推估,男性,85-89歲,18389,19452,21409,23301,25113,29977,33535,36476,38710,41096,42843,45323,48850,53381,60585,65869,70921,76946,85006,92019,98577,105360,110329,114167,114543,113012,109888,106901,104537,102595,101502,103398,107645,113102,119694,124593,129491,131724,128121,127506,135431,147431,164928,187601,216074,236550,253569,267598,282568,292029,298646,307857,317444,324735,331586,340922,348440,353190,355613,358493,355198,355625,356931,359008,358196,358068,356266,354847,355316,371754,380775,394185,409725,420749,423841,429605,426545,419378,407842,386784,371808,370084,362542,367337
低推估,男性,90-94歲,4186,4619,5198,5738,6278,6951,7485,8311,9168,10045,12364,14162,15551,16760,18114,18087,19429,21348,23822,26964,30022,32648,35264,39070,42154,44987,48077,50353,52093,52177,49654,47217,45718,44864,44980,46274,48041,50853,54107,57375,59718,62121,63285,61406,61437,66203,73104,82616,94022,108631,119051,127750,135175,143433,149335,153286,158838,164686,169537,174130,179773,184628,187957,189951,192318,191074,192395,194151,196205,196567,196788,196539,196624,197922,208946,214510,222745,232042,238315,241084,244495,242868,239151,232569
低推估,男性,95-99歲,606,680,808,905,1078,1271,1423,1611,1807,1994,2213,2421,2713,2944,3293,4120,4435,4825,5201,5524,5752,6225,6771,7552,8597,9585,10265,10985,12345,13336,13356,13627,13903,14323,13995,13602,13193,12916,12916,13091,13562,14150,15089,16165,17199,17900,18636,18993,18318,18499,20429,23082,26545,30406,35471,39044,42058,44759,47902,50413,52036,54369,56858,59072,61173,63553,65734,67327,68393,69673,69473,70515,71683,72885,73378,73579,73841,74285,75267,80428,82694,86132,89915,92257
低推估,男性,100歲以上,79,122,164,175,203,275,319,348,388,477,606,682,786,884,1005,1005,931,977,1036,1027,1315,1418,1452,1442,1404,1521,1568,1687,1877,2099,2197,2148,2207,2421,2444,2441,2455,2480,2527,2518,2464,2412,2383,2408,2449,2532,2632,2796,2990,3186,3339,3520,3657,3614,3756,4244,4867,5637,6446,7565,8429,9224,10011,10933,11793,12399,13185,14016,14818,15586,16367,17151,17804,18329,18914,19124,19679,20220,20725,21052,21209,21483,21797,22229
低推估,女性,0-4歲,781019,775605,765620,761581,762568,767123,741136,722318,712544,682784,646022,625729,593723,546269,521243,502024,489715,479147,460693,458244,472124,474738,484246,507246,512414,492679,486589,470062,445981,417465,391565,373923,355460,330399,298990,271417,243989,214828,197745,188476,182817,176899,170632,164031,157618,151793,146528,141912,137998,134812,132319,130443,129078,128093,127343,126672,125955,125069,123895,122358,120431,118092,115310,112096,108492,104553,100352,95994,91589,87253,83084,79154,75517,72208,69218,66546,64194,62168,60450,59020,57839,56861,56041,55337
低推估,女性,5-9歲,826454,806601,778439,768728,772574,777293,771031,776547,773385,776341,778195,748799,729180,719557,688097,650560,630644,599594,553071,528609,509463,496255,486111,467314,465155,481281,481169,491118,512858,512941,492051,492373,476003,450842,426795,399523,377290,358698,334329,302528,274980,247968,219239,202147,192753,187004,181012,174676,168017,161553,155679,150377,145732,141795,138592,136082,134189,132806,131806,131043,130361,129638,128749,127579,126044,124117,121775,118992,115776,112176,108237,104040,99688,95295,90980,86838,82940,79337,76067,73113,70483,68181,66204,64537
低推估,女性,10-14歲,981055,968344,945781,912603,859756,816229,799201,771986,767533,773594,777483,769927,775348,772066,775111,777076,748244,728975,719248,687792,650568,630507,599179,552734,528246,508956,495748,485369,465497,459270,473429,479979,490971,512610,516557,496742,490121,472732,448680,425514,398923,377125,358705,334426,302733,275309,248403,219774,202738,193369,187635,181656,175339,168699,162259,156407,151121,146489,142561,139366,136869,134986,133610,132624,131875,131207,130501,129628,128481,126967,125066,122750,119997,116812,113247,109344,105188,100876,96528,92261,88165,84308,80748,77519
低推估,女性,15-19歲,908876,928393,957320,976274,971801,977774,966760,942560,910495,858177,814496,795888,768784,764664,771109,775575,768840,774675,771420,774423,776481,747813,728480,718731,687456,650204,630304,599136,551607,523649,503071,495262,485827,465983,462965,478502,478142,488015,510640,515475,496374,490155,472875,448859,425721,399188,377435,359045,334816,303192,275827,248972,220389,203381,194026,188298,182328,176021,169392,162965,157125,151851,147238,143330,140149,137664,135792,134429,133453,132720,132070,131381,130525,129393,127896,126013,123721,120993,117830,114291,110416,106285,102001,97684
低推估,女性,20-24歲,906796,892492,878044,868467,889555,902965,927993,956601,977952,973513,978706,964793,939894,908333,857516,814957,797136,770663,765670,771069,775225,768360,773938,770557,773542,775760,747078,727768,717320,683039,644631,628736,598473,551332,526593,507034,493642,483383,464686,462382,478419,478403,488318,510841,515621,496579,490357,473113,449155,426078,399610,377908,359572,335397,303846,276541,249749,221250,204291,194965,189254,183307,177023,170421,164025,158217,152972,148385,144505,141347,138885,137034,135692,134741,134032,133411,132746,131918,130815,129344,127490,125230,122533,119406
低推估,女性,25-29歲,943708,932646,924775,918641,904388,901768,892062,880849,873639,898649,912380,934343,961852,984102,984295,995008,985307,965727,933395,878871,830809,808320,776715,768294,772223,775391,768132,773555,769144,765891,767224,746104,728093,717522,685983,648321,627860,596548,550673,526682,507691,494692,484584,465913,463574,479526,479479,489321,511692,516421,497464,491243,474071,450217,427245,400897,379293,361045,336975,305579,278411,251772,223450,206613,197366,191711,185831,179613,173078,166749,161012,155835,151319,147500,144406,142004,140212,138930,138045,137400,136843,136240,135477,134441
低推估,女性,30-34歲,941089,951036,959865,958977,957824,942065,933424,927158,923495,912193,910956,899141,889075,883579,912357,929007,955283,991472,1016997,1015193,1023196,1010845,985507,949465,892212,840441,815508,782296,771245,766264,766445,768994,775514,771237,774127,776053,747159,727937,718565,687886,651105,631342,600486,554750,530748,511814,498839,488736,470128,467755,483565,483478,493223,515438,520108,501225,495014,477912,454169,431316,405123,383666,365559,341678,310508,283550,257115,229011,212331,203204,197659,191890,185791,179380,173174,167563,162514,158123,154433,151465,149192,147530,146379,145621
低推估,女性,35-39歲,857434,876875,901674,913049,922264,940571,954832,958278,958242,958222,942289,931722,926468,924556,917352,918842,910492,905787,902236,930095,945898,971681,1001868,1024829,1022480,1030464,1017209,991358,952846,886781,832960,817380,785530,775043,777010,778460,770297,775319,772383,775974,778761,750871,732194,722732,692048,655428,635720,604986,559457,535543,516666,503720,493635,475086,472688,488382,488268,497935,520005,524646,505874,499722,482751,459194,436527,410540,389263,371327,347647,316720,289983,263772,235901,219403,210428,205015,199387,193434,187173,181122,175666,170777,166541,163011
低推估,女性,40-44歲,692766,741550,784055,821938,838760,853954,875959,896277,908597,918228,935973,947625,951241,952202,955249,940956,932657,930830,930305,922634,924215,915802,907713,903196,930523,946420,972195,1002276,1023319,1012869,1019133,1015940,991692,954413,895588,843090,816943,783336,773819,776427,778654,771302,776691,773687,777130,779882,752144,733564,724145,693629,657216,637606,607042,561774,537987,519208,506323,496281,477828,475446,491073,490988,500645,522648,527319,508713,502660,485846,462484,440008,414232,393146,375386,351909,321225,294711,268720,241079,224758,215924,210639,205142,199325,193205
低推估,女性,45-49歲,435910,456068,492635,551629,629281,687336,736966,776424,815063,832299,847162,866629,886843,900035,912538,931153,945023,950826,952402,954537,939746,931020,927363,926007,918614,920566,912359,904621,898799,919349,934008,967449,998655,1020299,1017064,1024520,1011021,984919,948934,891385,840038,814703,781644,772184,774719,776950,769673,775046,772086,775527,778283,750747,732307,722974,692672,656511,637033,606674,561702,538081,519441,506665,496725,478432,476121,491712,491681,501339,523275,527978,509535,503574,486914,463744,441455,415883,394977,377376,354088,323629,297318,271528,244099,227932
低推估,女性,50-54歲,438999,443576,439224,421684,411471,422080,445194,484739,545257,623115,679977,727398,766611,805313,825295,841159,862593,883697,896683,907285,926068,939840,944225,945217,946932,932286,923919,920541,917980,904568,905619,904583,897970,893229,920024,935244,960158,989349,1011849,1009363,1017405,1004545,978918,943287,886246,835395,810356,777635,768328,770900,773170,766012,771401,768529,772003,774796,747501,729240,720027,689984,654121,634821,604715,560097,536688,518226,505589,495768,477635,475396,490956,490979,500639,522499,527232,508955,503087,486581,463599,441491,416110,395373,377922,354815
低推估,女性,55-59歲,380987,388944,398378,409795,419368,424799,430770,429154,412352,403732,414160,436233,475800,535893,614591,672051,720458,760244,798855,817458,833060,853482,873221,885662,895613,914005,927932,933118,932737,927991,913387,911937,909377,907970,900941,902851,894986,887440,883558,910442,925900,950930,980080,1002484,1000195,1008317,995743,970524,935380,879019,828784,804124,771834,762738,765385,767733,760750,766189,763444,766988,769858,742858,724826,715789,686057,650549,631458,601641,557420,534242,515973,503489,493794,475838,473674,489208,489291,498951,520735,525500,507398,501621,485266,462469
低推估,女性,60-64歲,323860,330204,336729,345121,351556,362918,373079,384148,395783,406304,411422,416895,415739,399992,392948,404197,427415,466877,526541,603327,659867,707033,745699,783336,801429,816892,837079,856841,867175,869767,887917,909622,915805,916393,918585,904843,897054,894033,893652,887115,889350,882003,874942,871435,898286,913827,938809,967849,990215,988263,996538,984360,959688,925173,869655,820197,796033,764287,755483,758251,760724,753982,759517,756963,760619,763602,736963,719211,710387,681022,645925,627071,597579,553805,530892,512852,500533,490982,473218,471142,486650,486797,496468,518167
低推估,女性,65-69歲,251206,263473,272780,283182,291627,300615,307840,316618,325651,332488,343363,353047,364301,376000,387384,393262,399815,399612,385297,379048,390644,413650,452297,510195,584539,639547,685621,723850,758749,768486,783315,811514,832364,844473,854233,872212,886128,891279,893018,895669,882783,875815,873497,873691,867846,870471,863751,857317,854375,881261,896937,921876,950782,973100,971641,980125,968481,944544,910871,856486,808088,784632,753649,745276,748206,750840,744447,750104,747810,751610,754742,728555,711166,702637,673753,639205,620635,591560,548401,525846,508108,496012,486648,469116
低推估,女性,70-74歲,180376,188456,196919,205377,212786,221874,234276,245233,255964,265028,273226,280141,289004,298044,305620,316716,326636,338240,350116,361279,367737,374216,374616,361402,356058,367601,390128,427808,481862,546437,597360,649234,687150,722942,740300,755016,774369,793616,806455,816906,835068,849391,855292,857839,861257,849624,843809,842429,843424,838562,841689,835852,830309,828166,855064,870880,895689,924327,946484,945724,954449,943551,920684,888246,835557,788764,766387,736563,728834,731964,734801,728928,734727,732809,736788,740112,714583,697725,689645,661496,627808,609650,581214,539047
低推估,女性,75-79歲,115916,118992,121847,127880,137675,146379,154546,163498,172188,180527,188790,199428,210010,219968,229363,237517,244753,253475,262595,269771,280443,290429,301294,312914,323404,329892,336566,337972,326070,319156,328734,353264,389384,440607,506587,555385,596623,631090,665157,683076,698163,717498,736705,750019,761123,779261,793907,800640,804155,808492,798539,794265,794111,796126,792578,796295,791644,787309,786248,812988,828837,853253,881279,902999,903199,912144,902296,881026,850478,800459,756221,735537,707547,700803,704163,707237,702152,708085,706712,710905,714456,689975,673966,666600
低推估,女性,80-84歲,66767,71098,75905,78211,79052,81484,84458,87909,93801,102837,110217,116899,124294,132174,140448,147906,157217,166676,175596,183798,191268,198069,205840,213993,220018,229610,238433,248977,259923,268252,272997,279753,281753,272604,270907,282893,303355,335760,381486,440097,483745,520758,551993,583021,600557,615177,633656,652157,665551,677026,694505,709035,716454,720871,726060,718174,715797,717085,720242,718346,722517,719336,716543,716846,742949,758463,781800,808353,828871,830324,839209,830739,811838,784184,738485,698444,680514,655569,650373,653871,657099,653231,659160,658575
低推估,女性,85-89歲,26180,27637,30381,32412,34942,38344,41241,43582,45555,47109,49593,52017,54861,59170,66251,71494,76488,82085,88264,94311,100306,107644,114632,121396,127228,132796,137846,143763,150891,155913,161331,167655,176097,185184,194424,201466,208183,211204,205484,205108,215962,233719,260786,297132,343928,378820,408461,433882,459324,475202,488123,504338,520805,533379,544483,560023,573462,581075,586080,591806,586487,586404,589268,593547,593618,597877,596481,595610,597539,621778,636001,656789,680102,697907,700807,708966,702361,687111,664142,625751,592817,579358,559441,556538
低推估,女性,90-94歲,7208,7618,8582,9186,10058,10907,11604,12735,13791,15177,16972,18562,19792,20875,22270,23720,25176,27016,29574,33242,36268,39326,42303,45853,49388,52465,56689,60746,65011,68318,69556,71816,75049,79273,83274,88774,94321,101263,108260,114266,118926,123376,125732,122481,123039,131301,144120,162688,185858,216136,238638,257841,274841,292203,304531,314153,326222,338736,348895,358156,369934,380656,387391,392190,397640,395148,397180,401144,405912,407702,411392,411747,412749,415987,435883,447082,462932,480347,493293,497166,503430,499037,488758,472576
低推估,女性,95-99歲,1195,1389,1556,1709,1949,2131,2327,2527,2757,2954,3293,3533,3930,4292,4844,5456,5846,6396,6865,7138,7833,8393,8992,10061,11408,12586,13583,14641,16092,17573,18067,18821,19902,21269,22104,23117,24627,26645,28973,31075,33633,36062,39050,42089,44591,46568,48485,49622,48247,48945,53461,60064,69094,79430,93253,103362,112021,120027,128458,135307,140360,146818,153702,159605,165113,171548,177750,181946,185089,188719,188105,190540,193850,197396,199345,201488,202474,204036,206953,219239,225455,234103,243387,249875
低推估,女性,100歲以上,212,258,333,330,380,442,484,518,578,646,692,739,787,859,939,957,942,1024,1075,1114,1284,1420,1543,1625,1664,1805,1932,2119,2365,2639,2704,2836,2958,3107,3253,3456,3665,4009,4389,4822,5231,5682,6207,6813,7373,8044,8691,9499,10334,11048,11704,12393,12969,12939,13495,15069,17153,19815,22613,26577,29706,32630,35627,38874,42049,44461,47349,50437,53313,56078,58933,61896,64282,66308,68523,69373,71402,73498,75512,77017,78134,79303,80710,82525


"● 1971年（含）以前資料不包含金門縣及連江縣。"
"● 2026年（含）以後為推估值。"
"● 1971年、1975年、1992年曾調整最高年齡之統計分類，其銜接點之「較上年增減值」、「較上年增減率」則不予計算。
